study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
table ,,0,0,0,12,,,,,94.2650847,94.2650847,1.022222222,2.1415508,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
tata,,0,1,1,6,,,,,96.4575268,96.4575268,1.022222222,0.7499386,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
queen,,0,2,2,8,,,,,97.2899033,97.2899033,1.022222222,0.7514065,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
cushion,,0,3,3,3,,,,,98.1229937,98.1229937,1.022222222,0.7139131,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
book,,0,4,4,2,,,,,98.8887045,98.8887045,1.022222222,0.8111697,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
clock,,0,5,5,14,,,,,99.7713911,99.7713911,1.022222222,0.675129,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
piano,,0,6,6,4,,,,,100.538871,100.538871,1.022222222,0.8319431,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
tiger,,0,7,7,1,,,,,101.4724168,101.4724168,1.022222222,0.7504441,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
vase ,,0,8,8,0,,,,,102.3051949,102.3051949,1.022222222,0.7836499,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
marble ,,0,9,9,10,,,,,103.1714925,103.1714925,1.022222222,0.8199434,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
needle ,,0,10,10,11,,,,,104.0706739,104.0706739,1.022222222,0.698702,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
phone ,,0,11,11,9,,,,,104.8367224,104.8367224,1.022222222,0.7450292,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
mouse,,0,12,12,7,,,,,105.6362669,105.6362669,1.022222222,0.7330418,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
chair ,,0,13,13,13,,,,,106.4870817,106.4870817,1.022222222,0.5232956,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
tube,,0,14,14,5,,,,,107.1520947,107.1520947,1.022222222,0.3712082,,,,,,,,,,,,,1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,t_g_r,,,,,0,0,0,1,,,,,107.6194124,107.6194124,107.6194124,0.0378241,tiger,[0.08055555555555556],[-0.3125],[1],[0],[0],[4.266899899999771],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,_r__k,,,,,0,1,1,12,,,,,111.902187,111.902187,111.902187,0.0117153,frock,[0.08055555555555556],[-0.3125],[1],[0],[0],[4.997795600000245],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,s__p,,,,,0,2,2,11,,,,,116.9005388,116.9005388,116.9005388,0.0130488,soup,[0.03333333333333333],[-0.2972222222222222],[1],[0],[0],[4.831376699999964],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,_a_e,,,,,0,3,3,0,,,,,121.7493015,121.7493015,121.7493015,0.0103907,vase,[0.03333333333333333],[-0.2972222222222222],[1],[0],[0],[4.183362199999465],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,c_rt__ns,,,,,0,4,4,13,,,,,125.9477804,125.9477804,125.9477804,0.0112754,curtains,[0.03333333333333333],[-0.2972222222222222],[1],[0],[0],[5.000761000001148],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,t_b_,,,,,0,5,5,5,,,,,130.9627924,130.9627924,130.9627924,0.0091893,table,[0.03333333333333333],[-0.2972222222222222],[1],[0],[0],[3.984640299999228],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,p_o_e,,,,,0,6,6,9,,,,,134.9616722,134.9616722,134.9616722,0.0095113,prose,[-0.029166666666666667],[-0.30416666666666664],[1],[0],[0],[7.783124000001408],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,_oo_,,,,,0,7,7,2,,,,,142.7591214,142.7591214,142.7591214,0.0092264,book,[0.07916666666666666],[-0.30416666666666664],[1],[0],[0],[4.851782399999138],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,p_st_y,,,,,0,8,8,10,,,,,147.6066548,147.6066548,147.6066548,0.0076148,pastry,[-0.05],[-0.2916666666666667],[1],[0],[0],[4.023064199998771],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,q__en,,,,,0,9,9,8,,,,,151.6561205,151.6561205,151.6561205,0.0097034,queen,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[3.389011200000823],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,_o_s_,,,,,0,10,10,7,,,,,155.0556731,155.0556731,155.0556731,0.0098,prose,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[7.514263700000811],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,c_s_i_n,,,,,0,11,11,3,,,,,162.5863864,162.5863864,162.5863864,0.0105521,cushion,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[3.8501744999994116],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,_ia__,,,,,0,12,12,4,,,,,166.4520128,166.4520128,166.4520128,0.0117844,piano,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[4.332230099998924],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,n_n_,,,,,0,13,13,14,,,,,170.8004472,170.8004472,170.8004472,0.0097384,none,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[4.766682400000718],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
,t_t_,,,,,0,14,14,6,,,,,175.582344,175.582344,175.582344,0.0098991,tata,[-0.03611111111111111],[-0.2986111111111111],[1],[0],[0],[3.15499009999985],['text_3'],1r,1,2023-09-29_15h13.39.599,wordpriming,2023.1.3,59.93755705
