study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
clock,,0,0,0,14,,,,,29.939982800000507,29.939982800000507,1,2.3746348999993643,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
chair ,,0,1,1,13,,,,,32.349297799999476,32.349297799999476,1,1.3828916999991634,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
tube,,0,2,2,5,,,,,33.8329604999999,33.8329604999999,1,1.2593764000012015,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
cushion,,0,3,3,3,,,,,35.19973639999989,35.19973639999989,1,1.39110829999845,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
piano,,0,4,4,4,,,,,36.6477732000003,36.6477732000003,1,1.9053973000009137,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
book,,0,5,5,2,,,,,38.630457999999635,38.630457999999635,1,1.6272485999998025,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
phone ,,0,6,6,9,,,,,40.33051909999995,40.33051909999995,1,1.370043099999748,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
tiger,,0,7,7,1,,,,,41.78025499999967,41.78025499999967,1,1.4063877999997203,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
tata,,0,8,8,6,,,,,43.28000790000078,43.28000790000078,1,1.08915320000051,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
vase ,,0,9,9,0,,,,,44.446824700000434,44.446824700000434,1,1.254853099999309,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
marble ,,0,10,10,10,,,,,45.77983060000042,45.77983060000042,1,1.0021916000005149,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
queen,,0,11,11,8,,,,,46.84484650000013,46.84484650000013,1.0333333333333334,2.415712899999562,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
table ,,0,12,12,12,,,,,49.34470169999986,49.34470169999986,1.0333333333333334,1.0234172000000399,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
mouse,,0,13,13,7,,,,,50.44393929999933,50.44393929999933,1.0333333333333334,0.9894867000002705,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
needle ,,0,14,14,11,,,,,51.5272860999994,51.5272860999994,1.0333333333333334,0.9291493000000628,,,,,,,,,,,,,2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,_a_e,,,,,0,0,0,0,,,,,52.56072270000004,52.56072270000004,52.56072270000004,0.03952220000064699,vase,[-0.11388888888888889],[-0.29583333333333334],[1],[0],[0],[4.977493299998969],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,_ia__,,,,,0,1,1,4,,,,,57.525781300000745,57.525781300000745,57.525781300000745,0.009795100000701495,gu,[],[],[],[],[],[],[],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,t_t_,,,,,0,2,2,6,,,,,67.53908950000005,67.53908950000005,67.53908950000005,0.017735800000082236,tata,[-0.14583333333333334],[-0.30694444444444446],[1],[0],[0],[4.792344999999841],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,_r__k,,,,,0,3,3,12,,,,,72.33761770000092,72.33761770000092,72.33761770000092,0.010218500001428765,frock,[-0.1625],[-0.28055555555555556],[1],[0],[0],[6.76299310000104],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,t_b_,,,,,0,4,4,5,,,,,79.11886849999973,79.11886849999973,79.11886849999973,0.008587199999965378,tube,[-0.1625],[-0.2875],[1],[0],[0],[7.205868400000327],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,c_rt__ns,,,,,0,5,5,13,,,,,86.33320719999938,86.33320719999938,86.33320719999938,0.010915599999862025,cartoons,[-0.14444444444444443],[-0.29583333333333334],[1],[0],[0],[7.229495100000349],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,p_o_e,,,,,0,6,6,9,,,,,93.58113820000108,93.58113820000108,93.58113820000108,0.010177699999985634,p,[],[],[],[],[],[],[],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,p_st_y,,,,,0,7,7,10,,,,,103.61108790000071,103.61108790000071,103.61108790000071,0.04447210000034829,prome,[-0.14444444444444443],[-0.29583333333333334],[1],[0],[0],[5.513572399999248],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,q__en,,,,,0,8,8,8,,,,,109.14279429999988,109.14279429999988,109.14279429999988,0.00971670000035374,queen,[-0.14444444444444443],[-0.29583333333333334],[1],[0],[0],[4.222500699999728],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,c_s_i_n,,,,,0,9,9,3,,,,,113.37487859999965,113.37487859999965,113.37487859999965,0.010318799999367911,cushion,[-0.14444444444444443],[-0.29583333333333334],[1],[0],[0],[7.0290609000003315],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,_o_s_,,,,,0,10,10,7,,,,,120.4224248999999,120.4224248999999,120.4224248999999,0.010173200000281213,,[],[],[],[],[],[],[],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,_oo_,,,,,0,11,11,2,,,,,130.4527646000006,130.4527646000006,130.4527646000006,0.037633800000548945,book,[-0.1527777777777778],[-0.30416666666666664],[1],[0],[0],[9.734812800001237],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,s__p,,,,,0,12,12,11,,,,,140.18207830000028,140.18207830000028,140.18207830000028,0.007019499998932588,soap,[-0.1527777777777778],[-0.30416666666666664],[1],[0],[0],[3.058691499998531],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,n_n_,,,,,0,13,13,14,,,,,143.26566620000085,143.26566620000085,143.26566620000085,0.00975779999862425,none,[-0.15416666666666667],[-0.29583333333333334],[1],[0],[0],[8.918159499999092],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
,t_g_r,,,,,0,14,14,1,,,,,152.1960581000003,152.1960581000003,152.1960581000003,0.010237599999527447,tiger,[-0.15555555555555556],[-0.2833333333333333],[1],[0],[0],[5.301522300000215],['text_3'],2b,001,2023-09-29_15h29.29.960,wordpriming,2023.1.3,60.097273446761676,
