study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase ,,0,0,0,0,,,,,22.004004599999462,22.004004599999462,1.0277777777777777,2.145737500002724,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
tube,,0,1,1,5,,,,,24.150681299997814,24.150681299997814,1,1.3943274000012025,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
needle ,,0,2,2,11,,,,,25.56711870000072,25.56711870000072,1,1.24311569999918,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
clock,,0,3,3,14,,,,,26.833547199999884,26.833547199999884,1,1.0122608999990916,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
piano,,0,4,4,4,,,,,27.86631649999981,27.86631649999981,1,0.8939112999978533,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
chair ,,0,5,5,13,,,,,28.782838200000697,28.782838200000697,1,0.7770414000005985,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
book,,0,6,6,2,,,,,29.58226139999897,29.58226139999897,1,0.7617133000021568,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
tata,,0,7,7,6,,,,,30.36558999999761,30.36558999999761,1,1.4449161000011372,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
phone ,,0,8,8,9,,,,,31.831367499999033,31.831367499999033,1,0.8787771999996039,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
cushion,,0,9,9,3,,,,,32.7313957999977,32.7313957999977,1,0.8784123000004911,,,,,,,,,,,,,3sh,001,2023-09-29_16h13.30.035,wordpriming,2023.1.3,60.24223402304572,
