study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase ,,0,0,0,0,,,,,24.72272510000039,24.72272510000039,1,4.747863399999915,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
needle ,,0,1,1,11,,,,,29.53294079999978,29.53294079999978,1,1.5101938000007067,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tata,,0,2,2,6,,,,,31.13211660000161,31.13211660000161,1,1.12182660000326,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
piano,,0,3,3,4,,,,,32.33249210000213,32.33249210000213,1,1.0687576999989687,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
book,,0,4,4,2,,,,,33.48194240000157,33.48194240000157,1,1.0438154000003124,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
chair ,,0,5,5,13,,,,,34.5811391999996,34.5811391999996,1,0.9170644000005268,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
phone ,,0,6,6,9,,,,,35.580870400001004,35.580870400001004,1,0.9718858000014734,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
clock,,0,7,7,14,,,,,36.613922399999865,36.613922399999865,1,0.9763323000006494,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tube,,0,8,8,5,,,,,37.66365489999953,37.66365489999953,1,0.9244857000012416,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
mouse,,0,9,9,7,,,,,38.67983960000129,38.67983960000129,1,0.9679739000021073,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tiger,,0,10,10,1,,,,,39.74650630000178,39.74650630000178,1,0.9000495000000228,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
marble ,,0,11,11,10,,,,,40.72934230000101,40.72934230000101,1,1.0544488999985333,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
queen,,0,12,12,8,,,,,41.86229210000238,41.86229210000238,1,0.9166841000005661,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
